response,instruction,context,combined_column,combined_column_len
"SELECT MAX(sexual_abuse_1) FROM table_15652027_1 WHERE conflict = ""Burundi Civil War""",What is the sexual abuse rate where the conflict is the Burundi Civil War?,"CREATE TABLE table_15652027_1 (sexual_abuse_1 INTEGER, conflict VARCHAR)","Instruction: What is the sexual abuse rate where the conflict is the Burundi Civil War?
Context: CREATE TABLE table_15652027_1 (sexual_abuse_1 INTEGER, conflict VARCHAR)
Response: SELECT MAX(sexual_abuse_1) FROM table_15652027_1 WHERE conflict = ""Burundi Civil War""",265
SELECT MIN(first_year) FROM table_name_33 WHERE population = 32 OFFSET 645,"Which is the smallest First year when the population is 32,645?","CREATE TABLE table_name_33 (first_year INTEGER, population VARCHAR)","Instruction: Which is the smallest First year when the population is 32,645?
Context: CREATE TABLE table_name_33 (first_year INTEGER, population VARCHAR)
Response: SELECT MIN(first_year) FROM table_name_33 WHERE population = 32 OFFSET 645",238
"SELECT release_date FROM table_name_18 WHERE publisher = ""microsoft game studios"" AND title = ""amped: freestyle snowboarding""",When Did Microsoft Game Studios release Amped: Freestyle Snowboarding?,"CREATE TABLE table_name_18 (release_date VARCHAR, publisher VARCHAR, title VARCHAR)","Instruction: When Did Microsoft Game Studios release Amped: Freestyle Snowboarding?
Context: CREATE TABLE table_name_18 (release_date VARCHAR, publisher VARCHAR, title VARCHAR)
Response: SELECT release_date FROM table_name_18 WHERE publisher = ""microsoft game studios"" AND title = ""amped: freestyle snowboarding""",312
"SELECT method FROM table_name_31 WHERE record = ""0-1""",What was the method of resolution when Katsuhisa Fujii's record was 0-1?,"CREATE TABLE table_name_31 (method VARCHAR, record VARCHAR)","Instruction: What was the method of resolution when Katsuhisa Fujii's record was 0-1?
Context: CREATE TABLE table_name_31 (method VARCHAR, record VARCHAR)
Response: SELECT method FROM table_name_31 WHERE record = ""0-1""",218
SELECT AVG(avg) FROM table_name_16 WHERE yards = 124 AND rec < 13,What is the average of the player with 124 yards and less than 13 rec.?,"CREATE TABLE table_name_16 (avg INTEGER, yards VARCHAR, rec VARCHAR)","Instruction: What is the average of the player with 124 yards and less than 13 rec.?
Context: CREATE TABLE table_name_16 (avg INTEGER, yards VARCHAR, rec VARCHAR)
Response: SELECT AVG(avg) FROM table_name_16 WHERE yards = 124 AND rec < 13",238
"SELECT AVG(round) FROM table_name_7 WHERE time = ""5:00"" AND event = ""hero's 9""",What is the average round of the match in the Hero's 9 event with a time of 5:00?,"CREATE TABLE table_name_7 (round INTEGER, time VARCHAR, event VARCHAR)","Instruction: What is the average round of the match in the Hero's 9 event with a time of 5:00?
Context: CREATE TABLE table_name_7 (round INTEGER, time VARCHAR, event VARCHAR)
Response: SELECT AVG(round) FROM table_name_7 WHERE time = ""5:00"" AND event = ""hero's 9""",263
SELECT platform_s_ FROM table_name_8 WHERE year = 2007,What platform has a year of 2007?,"CREATE TABLE table_name_8 (platform_s_ VARCHAR, year VARCHAR)","Instruction: What platform has a year of 2007?
Context: CREATE TABLE table_name_8 (platform_s_ VARCHAR, year VARCHAR)
Response: SELECT platform_s_ FROM table_name_8 WHERE year = 2007",182
SELECT COUNT(played) FROM table_name_5 WHERE drawn > 0 AND lost > 0,how many times is there more than 0 draws and more than 0 losses?,"CREATE TABLE table_name_5 (played VARCHAR, drawn VARCHAR, lost VARCHAR)","Instruction: how many times is there more than 0 draws and more than 0 losses?
Context: CREATE TABLE table_name_5 (played VARCHAR, drawn VARCHAR, lost VARCHAR)
Response: SELECT COUNT(played) FROM table_name_5 WHERE drawn > 0 AND lost > 0",237
"SELECT COUNT(couple) FROM table_29583818_3 WHERE total_points = ""128.0""",how many times is the total points 128.0?,"CREATE TABLE table_29583818_3 (couple VARCHAR, total_points VARCHAR)","Instruction: how many times is the total points 128.0?
Context: CREATE TABLE table_29583818_3 (couple VARCHAR, total_points VARCHAR)
Response: SELECT COUNT(couple) FROM table_29583818_3 WHERE total_points = ""128.0""",214
"SELECT college_junior_club_team__league_ FROM table_name_25 WHERE round < 2 AND nationality = ""united states""","What is the name of the team with round less than 2, and the nationality is the United States?","CREATE TABLE table_name_25 (college_junior_club_team__league_ VARCHAR, round VARCHAR, nationality VARCHAR)","Instruction: What is the name of the team with round less than 2, and the nationality is the United States?
Context: CREATE TABLE table_name_25 (college_junior_club_team__league_ VARCHAR, round VARCHAR, nationality VARCHAR)
Response: SELECT college_junior_club_team__league_ FROM table_name_25 WHERE round < 2 AND nationality = ""united states""",343
"SELECT to_par FROM table_name_74 WHERE place = ""t10"" AND score = 67 - 73 = 140","What To par has a Place of t10, and a Score of 67-73=140?","CREATE TABLE table_name_74 (to_par VARCHAR, place VARCHAR, score VARCHAR)","Instruction: What To par has a Place of t10, and a Score of 67-73=140?
Context: CREATE TABLE table_name_74 (to_par VARCHAR, place VARCHAR, score VARCHAR)
Response: SELECT to_par FROM table_name_74 WHERE place = ""t10"" AND score = 67 - 73 = 140",242
"SELECT status FROM table_22481967_1 WHERE operator = ""Toronto Transit Commission""",List the status for the operator Toronto transit commission.,"CREATE TABLE table_22481967_1 (status VARCHAR, operator VARCHAR)","Instruction: List the status for the operator Toronto transit commission.
Context: CREATE TABLE table_22481967_1 (status VARCHAR, operator VARCHAR)
Response: SELECT status FROM table_22481967_1 WHERE operator = ""Toronto Transit Commission""",239
"SELECT high_rebounds FROM table_27734577_8 WHERE high_points = ""Jamal Crawford (20)""",What are the high rebounds in the  jamal crawford (20) high points?,"CREATE TABLE table_27734577_8 (high_rebounds VARCHAR, high_points VARCHAR)","Instruction: What are the high rebounds in the  jamal crawford (20) high points?
Context: CREATE TABLE table_27734577_8 (high_rebounds VARCHAR, high_points VARCHAR)
Response: SELECT high_rebounds FROM table_27734577_8 WHERE high_points = ""Jamal Crawford (20)""",259
SELECT MIN(week) FROM table_name_3 WHERE attendance = 64 OFFSET 146,"What week had attendance of 64,146?","CREATE TABLE table_name_3 (week INTEGER, attendance VARCHAR)","Instruction: What week had attendance of 64,146?
Context: CREATE TABLE table_name_3 (week INTEGER, attendance VARCHAR)
Response: SELECT MIN(week) FROM table_name_3 WHERE attendance = 64 OFFSET 146",196
"SELECT MIN(game) FROM table_name_68 WHERE location = ""philips arena"" AND attendance < 15 OFFSET 619","What is the lowest Game, when Location is Philips Arena, and when Attendance is less than 15,619?","CREATE TABLE table_name_68 (game INTEGER, location VARCHAR, attendance VARCHAR)","Instruction: What is the lowest Game, when Location is Philips Arena, and when Attendance is less than 15,619?
Context: CREATE TABLE table_name_68 (game INTEGER, location VARCHAR, attendance VARCHAR)
Response: SELECT MIN(game) FROM table_name_68 WHERE location = ""philips arena"" AND attendance < 15 OFFSET 619",309
"SELECT score FROM table_name_5 WHERE team_2 = ""stade lavallois (d1)""",What was the score of team 2 Stade Lavallois (D1)?,"CREATE TABLE table_name_5 (score VARCHAR, team_2 VARCHAR)","Instruction: What was the score of team 2 Stade Lavallois (D1)?
Context: CREATE TABLE table_name_5 (score VARCHAR, team_2 VARCHAR)
Response: SELECT score FROM table_name_5 WHERE team_2 = ""stade lavallois (d1)""",209
"SELECT COUNT(order) FROM table_1818471_1 WHERE species = ""Pavo cristatus""",How many orders when the species is Pavo Cristatus?,"CREATE TABLE table_1818471_1 (order VARCHAR, species VARCHAR)","Instruction: How many orders when the species is Pavo Cristatus?
Context: CREATE TABLE table_1818471_1 (order VARCHAR, species VARCHAR)
Response: SELECT COUNT(order) FROM table_1818471_1 WHERE species = ""Pavo cristatus""",219
"SELECT years FROM table_2841865_2 WHERE congress = ""96th""",What time span is listed under years for the 96th congres?,"CREATE TABLE table_2841865_2 (years VARCHAR, congress VARCHAR)","Instruction: What time span is listed under years for the 96th congres?
Context: CREATE TABLE table_2841865_2 (years VARCHAR, congress VARCHAR)
Response: SELECT years FROM table_2841865_2 WHERE congress = ""96th""",211
"SELECT event FROM table_name_9 WHERE round = ""1"" AND opponent = ""lance wipf""",What was the event for round 1 against Lance Wipf?,"CREATE TABLE table_name_9 (event VARCHAR, round VARCHAR, opponent VARCHAR)","Instruction: What was the event for round 1 against Lance Wipf?
Context: CREATE TABLE table_name_9 (event VARCHAR, round VARCHAR, opponent VARCHAR)
Response: SELECT event FROM table_name_9 WHERE round = ""1"" AND opponent = ""lance wipf""",234
"SELECT builder FROM table_1206583_2 WHERE launched = ""30 October 1944""",What is the builder launched 30 october 1944?,"CREATE TABLE table_1206583_2 (builder VARCHAR, launched VARCHAR)","Instruction: What is the builder launched 30 october 1944?
Context: CREATE TABLE table_1206583_2 (builder VARCHAR, launched VARCHAR)
Response: SELECT builder FROM table_1206583_2 WHERE launched = ""30 October 1944""",213
"SELECT party FROM table_name_44 WHERE representative = ""peter a. quinn""",Which party has Peter A. Quinn as a representative?,"CREATE TABLE table_name_44 (party VARCHAR, representative VARCHAR)","Instruction: Which party has Peter A. Quinn as a representative?
Context: CREATE TABLE table_name_44 (party VARCHAR, representative VARCHAR)
Response: SELECT party FROM table_name_44 WHERE representative = ""peter a. quinn""",222
"SELECT jump_2 FROM table_name_58 WHERE jump_1 = ""7.14""",What is the Jump 2 of the person that has a Jump 1 of 7.14,"CREATE TABLE table_name_58 (jump_2 VARCHAR, jump_1 VARCHAR)","Instruction: What is the Jump 2 of the person that has a Jump 1 of 7.14
Context: CREATE TABLE table_name_58 (jump_2 VARCHAR, jump_1 VARCHAR)
Response: SELECT jump_2 FROM table_name_58 WHERE jump_1 = ""7.14""",205
"SELECT to_par FROM table_name_63 WHERE place = ""t4"" AND score = 72 - 69 - 73 = 214",What is the To par of the T4 Place Player with a Score of 72-69-73=214?,"CREATE TABLE table_name_63 (to_par VARCHAR, place VARCHAR, score VARCHAR)","Instruction: What is the To par of the T4 Place Player with a Score of 72-69-73=214?
Context: CREATE TABLE table_name_63 (to_par VARCHAR, place VARCHAR, score VARCHAR)
Response: SELECT to_par FROM table_name_63 WHERE place = ""t4"" AND score = 72 - 69 - 73 = 214",260
"SELECT AVG(game) FROM table_name_4 WHERE date = ""march 2""",Which game was played on march 2?,"CREATE TABLE table_name_4 (game INTEGER, date VARCHAR)","Instruction: Which game was played on march 2?
Context: CREATE TABLE table_name_4 (game INTEGER, date VARCHAR)
Response: SELECT AVG(game) FROM table_name_4 WHERE date = ""march 2""",178
"SELECT MIN(score) FROM table_name_77 WHERE country = ""canada""",What is the lowest Score when the Country is canada?,"CREATE TABLE table_name_77 (score INTEGER, country VARCHAR)","Instruction: What is the lowest Score when the Country is canada?
Context: CREATE TABLE table_name_77 (score INTEGER, country VARCHAR)
Response: SELECT MIN(score) FROM table_name_77 WHERE country = ""canada""",206
"SELECT position_in_table FROM table_26914854_3 WHERE date_of_vacancy = ""4 January 2011""",What is the position in table when the date of vacancy was 4 january 2011?,"CREATE TABLE table_26914854_3 (position_in_table VARCHAR, date_of_vacancy VARCHAR)","Instruction: What is the position in table when the date of vacancy was 4 january 2011?
Context: CREATE TABLE table_26914854_3 (position_in_table VARCHAR, date_of_vacancy VARCHAR)
Response: SELECT position_in_table FROM table_26914854_3 WHERE date_of_vacancy = ""4 January 2011""",277
"SELECT last_performance FROM table_name_3 WHERE name = ""rarmian newton""",What is the date of the Last Performance of Rarmian Newton as Billy Elliot?,"CREATE TABLE table_name_3 (last_performance VARCHAR, name VARCHAR)","Instruction: What is the date of the Last Performance of Rarmian Newton as Billy Elliot?
Context: CREATE TABLE table_name_3 (last_performance VARCHAR, name VARCHAR)
Response: SELECT last_performance FROM table_name_3 WHERE name = ""rarmian newton""",246
"SELECT season FROM table_name_84 WHERE level = ""2nd"" AND points = 29","What season has a Level of 2nd, 29 points?","CREATE TABLE table_name_84 (season VARCHAR, level VARCHAR, points VARCHAR)","Instruction: What season has a Level of 2nd, 29 points?
Context: CREATE TABLE table_name_84 (season VARCHAR, level VARCHAR, points VARCHAR)
Response: SELECT season FROM table_name_84 WHERE level = ""2nd"" AND points = 29",218
"SELECT team FROM table_name_41 WHERE race_2 = ""5""","What is Team, when Race 2 is ""5""?","CREATE TABLE table_name_41 (team VARCHAR, race_2 VARCHAR)","Instruction: What is Team, when Race 2 is ""5""?
Context: CREATE TABLE table_name_41 (team VARCHAR, race_2 VARCHAR)
Response: SELECT team FROM table_name_41 WHERE race_2 = ""5""",173
"SELECT report FROM table_name_43 WHERE venue = ""state sports centre""",What was the report at State Sports Centre?,"CREATE TABLE table_name_43 (report VARCHAR, venue VARCHAR)","Instruction: What was the report at State Sports Centre?
Context: CREATE TABLE table_name_43 (report VARCHAR, venue VARCHAR)
Response: SELECT report FROM table_name_43 WHERE venue = ""state sports centre""",203
"SELECT billing_state, COUNT(*) FROM invoices WHERE billing_country = ""USA"" GROUP BY billing_state ORDER BY COUNT(*) DESC LIMIT 1",List the state in the US with the most invoices.,"CREATE TABLE invoices (billing_state VARCHAR, billing_country VARCHAR)","Instruction: List the state in the US with the most invoices.
Context: CREATE TABLE invoices (billing_state VARCHAR, billing_country VARCHAR)
Response: SELECT billing_state, COUNT(*) FROM invoices WHERE billing_country = ""USA"" GROUP BY billing_state ORDER BY COUNT(*) DESC LIMIT 1",280
"SELECT result FROM table_26555737_1 WHERE director = ""Hany Abu-Assad Category:Articles with hCards""",When  hany abu-assad category:articles with hcards is the director what is the result?,"CREATE TABLE table_26555737_1 (result VARCHAR, director VARCHAR)","Instruction: When  hany abu-assad category:articles with hcards is the director what is the result?
Context: CREATE TABLE table_26555737_1 (result VARCHAR, director VARCHAR)
Response: SELECT result FROM table_26555737_1 WHERE director = ""Hany Abu-Assad Category:Articles with hCards""",283
"SELECT copa_libertadores_1997 FROM table_14310205_1 WHERE team = ""Racing Club""",what is the racing club where copa libertadores 1997?,"CREATE TABLE table_14310205_1 (copa_libertadores_1997 VARCHAR, team VARCHAR)","Instruction: what is the racing club where copa libertadores 1997?
Context: CREATE TABLE table_14310205_1 (copa_libertadores_1997 VARCHAR, team VARCHAR)
Response: SELECT copa_libertadores_1997 FROM table_14310205_1 WHERE team = ""Racing Club""",241
"SELECT score FROM table_name_44 WHERE date = ""november 15, 2011""","What is the score of the match on November 15, 2011?","CREATE TABLE table_name_44 (score VARCHAR, date VARCHAR)","Instruction: What is the score of the match on November 15, 2011?
Context: CREATE TABLE table_name_44 (score VARCHAR, date VARCHAR)
Response: SELECT score FROM table_name_44 WHERE date = ""november 15, 2011""",206
"SELECT COUNT(segment_c) FROM table_15187735_10 WHERE segment_d = ""Crash Test Dummies""",Name the segment c for crash test dummies,"CREATE TABLE table_15187735_10 (segment_c VARCHAR, segment_d VARCHAR)","Instruction: Name the segment c for crash test dummies
Context: CREATE TABLE table_15187735_10 (segment_c VARCHAR, segment_d VARCHAR)
Response: SELECT COUNT(segment_c) FROM table_15187735_10 WHERE segment_d = ""Crash Test Dummies""",229
SELECT record FROM table_name_44 WHERE game = 14,What was the rangers' record on Game 14?,"CREATE TABLE table_name_44 (record VARCHAR, game VARCHAR)","Instruction: What was the rangers' record on Game 14?
Context: CREATE TABLE table_name_44 (record VARCHAR, game VARCHAR)
Response: SELECT record FROM table_name_44 WHERE game = 14",179
"SELECT COUNT(venue) FROM table_14981555_3 WHERE race = ""Australia Stakes""",How many venues had a race called the Australia Stakes?,"CREATE TABLE table_14981555_3 (venue VARCHAR, race VARCHAR)","Instruction: How many venues had a race called the Australia Stakes?
Context: CREATE TABLE table_14981555_3 (venue VARCHAR, race VARCHAR)
Response: SELECT COUNT(venue) FROM table_14981555_3 WHERE race = ""Australia Stakes""",221
"SELECT 2010 FROM table_name_83 WHERE 2008 = ""2r"" AND 2013 = ""a""",What is the 2010 value with a 2r in 2008 and A in 2013?,CREATE TABLE table_name_83 (Id VARCHAR),"Instruction: What is the 2010 value with a 2r in 2008 and A in 2013?
Context: CREATE TABLE table_name_83 (Id VARCHAR)
Response: SELECT 2010 FROM table_name_83 WHERE 2008 = ""2r"" AND 2013 = ""a""",191
"SELECT outcome FROM table_2362486_1 WHERE score_in_the_final = ""6–7(1), 2–6, 6–4, 7–5, 6–7(2)""","What was the outcome in the championship where the final score was 6–7(1), 2–6, 6–4, 7–5, 6–7(2)?","CREATE TABLE table_2362486_1 (outcome VARCHAR, score_in_the_final VARCHAR)","Instruction: What was the outcome in the championship where the final score was 6–7(1), 2–6, 6–4, 7–5, 6–7(2)?
Context: CREATE TABLE table_2362486_1 (outcome VARCHAR, score_in_the_final VARCHAR)
Response: SELECT outcome FROM table_2362486_1 WHERE score_in_the_final = ""6–7(1), 2–6, 6–4, 7–5, 6–7(2)""",299
"SELECT webcast FROM table_name_86 WHERE format = ""spanish contemporary"" AND website = ""xhnoe.com""",Which webcast was in Spanish contemporary on xhnoe.com?,"CREATE TABLE table_name_86 (webcast VARCHAR, format VARCHAR, website VARCHAR)","Instruction: Which webcast was in Spanish contemporary on xhnoe.com?
Context: CREATE TABLE table_name_86 (webcast VARCHAR, format VARCHAR, website VARCHAR)
Response: SELECT webcast FROM table_name_86 WHERE format = ""spanish contemporary"" AND website = ""xhnoe.com""",263
"SELECT released FROM table_name_13 WHERE series_sorted = ""6y/aa""",What was the date of release for the episode sorted value of 6Y/AA?,"CREATE TABLE table_name_13 (released VARCHAR, series_sorted VARCHAR)","Instruction: What was the date of release for the episode sorted value of 6Y/AA?
Context: CREATE TABLE table_name_13 (released VARCHAR, series_sorted VARCHAR)
Response: SELECT released FROM table_name_13 WHERE series_sorted = ""6y/aa""",233
"SELECT campusfee FROM campuses AS T1 JOIN csu_fees AS T2 ON T1.id = t2.campus WHERE t1.campus = ""San Francisco State University"" AND T2.year = 1996","What is the campus fee of ""San Francisco State University"" in year 1996?",CREATE TABLE csu_fees (year VARCHAR); CREATE TABLE campuses (id VARCHAR),"Instruction: What is the campus fee of ""San Francisco State University"" in year 1996?
Context: CREATE TABLE csu_fees (year VARCHAR); CREATE TABLE campuses (id VARCHAR)
Response: SELECT campusfee FROM campuses AS T1 JOIN csu_fees AS T2 ON T1.id = t2.campus WHERE t1.campus = ""San Francisco State University"" AND T2.year = 1996",325
"SELECT AVG(bask) FROM table_name_17 WHERE soft = ""18"" AND total > 35","Which Bask has Soft of 18, and a Total larger than 35?","CREATE TABLE table_name_17 (bask INTEGER, soft VARCHAR, total VARCHAR)","Instruction: Which Bask has Soft of 18, and a Total larger than 35?
Context: CREATE TABLE table_name_17 (bask INTEGER, soft VARCHAR, total VARCHAR)
Response: SELECT AVG(bask) FROM table_name_17 WHERE soft = ""18"" AND total > 35",226
"SELECT date FROM table_name_38 WHERE home = ""utah""",When did they play Utah at home?,"CREATE TABLE table_name_38 (date VARCHAR, home VARCHAR)","Instruction: When did they play Utah at home?
Context: CREATE TABLE table_name_38 (date VARCHAR, home VARCHAR)
Response: SELECT date FROM table_name_38 WHERE home = ""utah""",171
SELECT series FROM table_21297652_1 WHERE position = 7,What series is at the position 7?,"CREATE TABLE table_21297652_1 (series VARCHAR, position VARCHAR)","Instruction: What series is at the position 7?
Context: CREATE TABLE table_21297652_1 (series VARCHAR, position VARCHAR)
Response: SELECT series FROM table_21297652_1 WHERE position = 7",185
"SELECT character FROM table_name_26 WHERE category = ""best dramatic performance""",What character won the best dramatic performance award?,"CREATE TABLE table_name_26 (character VARCHAR, category VARCHAR)","Instruction: What character won the best dramatic performance award?
Context: CREATE TABLE table_name_26 (character VARCHAR, category VARCHAR)
Response: SELECT character FROM table_name_26 WHERE category = ""best dramatic performance""",233
SELECT highest_point FROM table_name_49 WHERE rank = 95,What is the highest amount of points for rank 95?,"CREATE TABLE table_name_49 (highest_point VARCHAR, rank VARCHAR)","Instruction: What is the highest amount of points for rank 95?
Context: CREATE TABLE table_name_49 (highest_point VARCHAR, rank VARCHAR)
Response: SELECT highest_point FROM table_name_49 WHERE rank = 95",202
"SELECT year FROM table_name_56 WHERE band = ""snow patrol"" AND lifetime_achievement_award = ""aslan""",In what year did Aslan receive a Lifetime Achievement Award and Snow Patrol perform?,"CREATE TABLE table_name_56 (year VARCHAR, band VARCHAR, lifetime_achievement_award VARCHAR)","Instruction: In what year did Aslan receive a Lifetime Achievement Award and Snow Patrol perform?
Context: CREATE TABLE table_name_56 (year VARCHAR, band VARCHAR, lifetime_achievement_award VARCHAR)
Response: SELECT year FROM table_name_56 WHERE band = ""snow patrol"" AND lifetime_achievement_award = ""aslan""",307
SELECT COUNT(enrollment) FROM table_19210115_1 WHERE founded = 1863,How many University founded in 1863?,"CREATE TABLE table_19210115_1 (enrollment VARCHAR, founded VARCHAR)","Instruction: How many University founded in 1863?
Context: CREATE TABLE table_19210115_1 (enrollment VARCHAR, founded VARCHAR)
Response: SELECT COUNT(enrollment) FROM table_19210115_1 WHERE founded = 1863",204
"SELECT broadcast_date FROM table_1849243_1 WHERE archive = ""16mm t/r""",What is the broadcast date of the 16mm t/r episode?,"CREATE TABLE table_1849243_1 (broadcast_date VARCHAR, archive VARCHAR)","Instruction: What is the broadcast date of the 16mm t/r episode?
Context: CREATE TABLE table_1849243_1 (broadcast_date VARCHAR, archive VARCHAR)
Response: SELECT broadcast_date FROM table_1849243_1 WHERE archive = ""16mm t/r""",224
"SELECT outcome FROM table_name_49 WHERE date = ""may 5, 2012""","What is the Outcome with a Date that is may 5, 2012?","CREATE TABLE table_name_49 (outcome VARCHAR, date VARCHAR)","Instruction: What is the Outcome with a Date that is may 5, 2012?
Context: CREATE TABLE table_name_49 (outcome VARCHAR, date VARCHAR)
Response: SELECT outcome FROM table_name_49 WHERE date = ""may 5, 2012""",204
"SELECT result FROM table_2668329_11 WHERE incumbent = ""Samuel Smith""",What was the result of Samuel Smith's race?,"CREATE TABLE table_2668329_11 (result VARCHAR, incumbent VARCHAR)","Instruction: What was the result of Samuel Smith's race?
Context: CREATE TABLE table_2668329_11 (result VARCHAR, incumbent VARCHAR)
Response: SELECT result FROM table_2668329_11 WHERE incumbent = ""Samuel Smith""",210
"SELECT SUM(played) FROM table_name_2 WHERE club = ""barcelona b"" AND wins < 11","What is the number played for the Barcelona B club, with wins under 11?","CREATE TABLE table_name_2 (played INTEGER, club VARCHAR, wins VARCHAR)","Instruction: What is the number played for the Barcelona B club, with wins under 11?
Context: CREATE TABLE table_name_2 (played INTEGER, club VARCHAR, wins VARCHAR)
Response: SELECT SUM(played) FROM table_name_2 WHERE club = ""barcelona b"" AND wins < 11",252
"SELECT score FROM table_name_50 WHERE to_par = ""+4"" AND player = ""stewart cink""",What is the Score of Stewart Cink with a To par of +4?,"CREATE TABLE table_name_50 (score VARCHAR, to_par VARCHAR, player VARCHAR)","Instruction: What is the Score of Stewart Cink with a To par of +4?
Context: CREATE TABLE table_name_50 (score VARCHAR, to_par VARCHAR, player VARCHAR)
Response: SELECT score FROM table_name_50 WHERE to_par = ""+4"" AND player = ""stewart cink""",241
"SELECT MAX(goals) FROM table_name_5 WHERE tries < 1 AND position = ""fullback""",Tell me the highest goals with tries less than 1 and fullback position,"CREATE TABLE table_name_5 (goals INTEGER, tries VARCHAR, position VARCHAR)","Instruction: Tell me the highest goals with tries less than 1 and fullback position
Context: CREATE TABLE table_name_5 (goals INTEGER, tries VARCHAR, position VARCHAR)
Response: SELECT MAX(goals) FROM table_name_5 WHERE tries < 1 AND position = ""fullback""",255
"SELECT channel FROM table_name_51 WHERE time = ""03:40""",What is the channel with a 03:40 time?,"CREATE TABLE table_name_51 (channel VARCHAR, time VARCHAR)","Instruction: What is the channel with a 03:40 time?
Context: CREATE TABLE table_name_51 (channel VARCHAR, time VARCHAR)
Response: SELECT channel FROM table_name_51 WHERE time = ""03:40""",184
"SELECT COUNT(date) FROM table_17120964_7 WHERE man_of_the_match = ""David Savage""",How many dates did David Savage get man of the match?,"CREATE TABLE table_17120964_7 (date VARCHAR, man_of_the_match VARCHAR)","Instruction: How many dates did David Savage get man of the match?
Context: CREATE TABLE table_17120964_7 (date VARCHAR, man_of_the_match VARCHAR)
Response: SELECT COUNT(date) FROM table_17120964_7 WHERE man_of_the_match = ""David Savage""",237
"SELECT county FROM table_name_88 WHERE precincts = ""33/33""",Which County has a Precincts of 33/33?,"CREATE TABLE table_name_88 (county VARCHAR, precincts VARCHAR)","Instruction: Which County has a Precincts of 33/33?
Context: CREATE TABLE table_name_88 (county VARCHAR, precincts VARCHAR)
Response: SELECT county FROM table_name_88 WHERE precincts = ""33/33""",192
"SELECT record FROM table_name_42 WHERE high_rebounds = ""luc mbah a moute (11)""",Which Record has a High rebounds of luc mbah a moute (11)?,"CREATE TABLE table_name_42 (record VARCHAR, high_rebounds VARCHAR)","Instruction: Which Record has a High rebounds of luc mbah a moute (11)?
Context: CREATE TABLE table_name_42 (record VARCHAR, high_rebounds VARCHAR)
Response: SELECT record FROM table_name_42 WHERE high_rebounds = ""luc mbah a moute (11)""",236
"SELECT venue FROM table_name_54 WHERE away_team = ""geelong""",Name the venue for geelong away team,"CREATE TABLE table_name_54 (venue VARCHAR, away_team VARCHAR)","Instruction: Name the venue for geelong away team
Context: CREATE TABLE table_name_54 (venue VARCHAR, away_team VARCHAR)
Response: SELECT venue FROM table_name_54 WHERE away_team = ""geelong""",190
"SELECT time_retired FROM table_name_78 WHERE laps < 14 AND rider = ""darren barton""","Which Time/Retired has Laps smaller than 14, and a Rider of darren barton?","CREATE TABLE table_name_78 (time_retired VARCHAR, laps VARCHAR, rider VARCHAR)","Instruction: Which Time/Retired has Laps smaller than 14, and a Rider of darren barton?
Context: CREATE TABLE table_name_78 (time_retired VARCHAR, laps VARCHAR, rider VARCHAR)
Response: SELECT time_retired FROM table_name_78 WHERE laps < 14 AND rider = ""darren barton""",268
"SELECT round FROM table_name_58 WHERE position = ""left wing""",In what round was a left wing drafted?,"CREATE TABLE table_name_58 (round VARCHAR, position VARCHAR)","Instruction: In what round was a left wing drafted?
Context: CREATE TABLE table_name_58 (round VARCHAR, position VARCHAR)
Response: SELECT round FROM table_name_58 WHERE position = ""left wing""",192
"SELECT dates_administered FROM table_20597634_3 WHERE scott_mcadams__d_ = ""23%""",When 23% scott mcadams (d) what are the dates administered?,"CREATE TABLE table_20597634_3 (dates_administered VARCHAR, scott_mcadams__d_ VARCHAR)","Instruction: When 23% scott mcadams (d) what are the dates administered?
Context: CREATE TABLE table_20597634_3 (dates_administered VARCHAR, scott_mcadams__d_ VARCHAR)
Response: SELECT dates_administered FROM table_20597634_3 WHERE scott_mcadams__d_ = ""23%""",257
"SELECT surface FROM table_name_60 WHERE date = ""3 october 2003""",Which Surface has a Date of 3 october 2003?,"CREATE TABLE table_name_60 (surface VARCHAR, date VARCHAR)","Instruction: Which Surface has a Date of 3 october 2003?
Context: CREATE TABLE table_name_60 (surface VARCHAR, date VARCHAR)
Response: SELECT surface FROM table_name_60 WHERE date = ""3 october 2003""",198
SELECT 1987 AS _88 FROM table_name_24 WHERE points = 136,"What is 1987-88, when Points is ""136""?",CREATE TABLE table_name_24 (points VARCHAR),"Instruction: What is 1987-88, when Points is ""136""?
Context: CREATE TABLE table_name_24 (points VARCHAR)
Response: SELECT 1987 AS _88 FROM table_name_24 WHERE points = 136",171
"SELECT COUNT(outcome) FROM table_26202940_6 WHERE score_in_the_final = ""6–3, 6–4, 7–6 (13–11)""","How many outcomes occur for score in the final of 6–3, 6–4, 7–6 (13–11)?","CREATE TABLE table_26202940_6 (outcome VARCHAR, score_in_the_final VARCHAR)","Instruction: How many outcomes occur for score in the final of 6–3, 6–4, 7–6 (13–11)?
Context: CREATE TABLE table_26202940_6 (outcome VARCHAR, score_in_the_final VARCHAR)
Response: SELECT COUNT(outcome) FROM table_26202940_6 WHERE score_in_the_final = ""6–3, 6–4, 7–6 (13–11)""",275
